rxn38485, Lipid metabolism
rxn31321, Lipid metabolism
rxn31325, Lipid metabolism
rxn37640, Energy metabolism
rxn33035, Carbohydrate metabolism
rxn38104, Metabolism of terpenoids and polyketides
rxn38135,
rxn38099, Metabolism of terpenoids and polyketides
rxn00610, Lipid metabolism
rxn01506, Carbohydrate metabolism
rxn38696,
rxn01352, Nucleotide metabolism
rxn32122, Carbohydrate metabolism
rxn00471, Amino acid metabolism
rxn02008,
rxn14169, Amino acid metabolism
rxn03901, Glycan biosynthesis and metabolism
rxn01986, Carbohydrate metabolism
rxn05124, Amino acid metabolism
rxn35247,
rxn00143, Amino acid metabolism
rxn30734, Amino acid metabolism
rxn37546,
rxn33715,
rxn06403, Carbohydrate metabolism
rxn15387, Metabolism of other amino acids
rxn15343, Metabolism of other amino acids
rxn33569, Biosynthesis of other secondary metabolites
rxn32425, Metabolism of cofactors and vitamins
rxn33580,
rxn37973, Carbohydrate metabolism
rxn02084, Amino acid metabolism
rxn34556,
rxn35246,
rxn32777, Carbohydrate metabolism
rxn38060, Amino acid metabolism
rxn01016, Energy metabolism
rxn30680, Metabolism of cofactors and vitamins
rxn15222, Carbohydrate metabolism
rxn15165, Metabolism of cofactors and vitamins
rxn37600, Carbohydrate metabolism
rxn15229, Nucleotide metabolism
rxn37586,
rxn32246, Amino acid metabolism
rxn38266,
rxn05846, Nucleotide metabolism
rxn05848, Nucleotide metabolism
rxn05847, Nucleotide metabolism
rxn38174, Biosynthesis of other secondary metabolites
rxn30395, Carbohydrate metabolism
rxn33242,
rxn32058,
rxn32371,
rxn07486, Carbohydrate metabolism
rxn37661, Metabolism of cofactors and vitamins
rxn06219, Lipid metabolism
rxn30396, Metabolism of cofactors and vitamins
rxn30368,
rxn31394,
rxn06139, Lipid metabolism
rxn31962, Xenobiotics biodegradation and metabolism
rxn32220, Xenobiotics biodegradation and metabolism
rxn02617, Carbohydrate metabolism
rxn14208,
rxn38024, Nucleotide metabolism
rxn32386, Nucleotide metabolism
rxn03039, Nucleotide metabolism
rxn01669, Metabolism of cofactors and vitamins
rxn05918, Glycan biosynthesis and metabolism
rxn20499, Metabolism of cofactors and vitamins
rxn38153, Amino acid metabolism
rxn30580, Lipid metabolism
rxn30163,
rxn33318, Energy metabolism
rxn37337, Lipid metabolism
rxn16574,
rxn34770, Carbohydrate metabolism
rxn31977, Amino acid metabolism
rxn37685, Metabolism of terpenoids and polyketides
rxn02875,
rxn35213,
rxn34307, Carbohydrate metabolism
rxn35449, Metabolism of terpenoids and polyketides
rxn30643,
rxn03969, Xenobiotics biodegradation and metabolism
rxn32460, Amino acid metabolism
rxn30431, Nucleotide metabolism
rxn30429, Nucleotide metabolism
rxn30430, Amino acid metabolism
rxn30428, Nucleotide metabolism
rxn32752,
rxn32758, Lipid metabolism
rxn16213, Metabolism of other amino acids
rxn21936, Carbohydrate metabolism
rxn00358, Carbohydrate metabolism
rxn06081, Lipid metabolism
rxn10534,
rxn11595,
rxn07043, Carbohydrate metabolism
rxn33488, Carbohydrate metabolism
rxn32595,
rxn28256,
rxn35346, Biosynthesis of other secondary metabolites
rxn31870, Metabolism of cofactors and vitamins
rxn16439,
rxn32939, Nucleotide metabolism
rxn32176, Nucleotide metabolism
rxn00461, Carbohydrate metabolism
rxn38162, Carbohydrate metabolism
rxn15402, Lipid metabolism
rxn30394,
rxn31923, Carbohydrate metabolism
rxn06152, Carbohydrate metabolism
rxn15160, Carbohydrate metabolism
rxn31088,
rxn03446, Metabolism of cofactors and vitamins
rxn35431,
rxn35428, Nucleotide metabolism
rxn32174, Energy metabolism
rxn16246, Xenobiotics biodegradation and metabolism
rxn04895, Xenobiotics biodegradation and metabolism
rxn04832, Xenobiotics biodegradation and metabolism
rxn04830, Xenobiotics biodegradation and metabolism
rxn04873, Xenobiotics biodegradation and metabolism
rxn15652, Xenobiotics biodegradation and metabolism
rxn11808, Xenobiotics biodegradation and metabolism
rxn04811, Xenobiotics biodegradation and metabolism
rxn04894, Xenobiotics biodegradation and metabolism
rxn04903, Xenobiotics biodegradation and metabolism
rxn04886, Xenobiotics biodegradation and metabolism
rxn31883, Xenobiotics biodegradation and metabolism
rxn04810, Xenobiotics biodegradation and metabolism
rxn04872, Xenobiotics biodegradation and metabolism
rxn07181, Xenobiotics biodegradation and metabolism
rxn04833, Xenobiotics biodegradation and metabolism
rxn32152, Xenobiotics biodegradation and metabolism
rxn04809, Xenobiotics biodegradation and metabolism
rxn04831, Xenobiotics biodegradation and metabolism
rxn04896, Xenobiotics biodegradation and metabolism
rxn28979, Amino acid metabolism
rxn03264,
rxn15226, Carbohydrate metabolism
rxn31228,
rxn03540, Metabolism of cofactors and vitamins
rxn19936, Nucleotide metabolism
rxn32253,
rxn38254,
rxn37937,
rxn30355, Amino acid metabolism
rxn33740, Metabolism of other amino acids
rxn33295, Biosynthesis of other secondary metabolites
rxn34671, Amino acid metabolism
rxn08040,
rxn38113, Carbohydrate metabolism
rxn04673, Metabolism of cofactors and vitamins
rxn31476, Glycan biosynthesis and metabolism
rxn07587, Metabolism of cofactors and vitamins
rxn06090, Lipid metabolism
rxn32682, Xenobiotics biodegradation and metabolism
rxn11834, Xenobiotics biodegradation and metabolism
rxn11838, Xenobiotics biodegradation and metabolism
rxn11809, Xenobiotics biodegradation and metabolism
rxn32074, Metabolism of cofactors and vitamins
rxn01306, Carbohydrate metabolism
rxn33079, Carbohydrate metabolism
rxn16206, Metabolism of other amino acids
rxn35345, Carbohydrate metabolism
rxn13914, Biosynthesis of other secondary metabolites
rxn03140, Glycan biosynthesis and metabolism
rxn06485,
rxn06864, Metabolism of cofactors and vitamins
rxn00792, Metabolism of cofactors and vitamins
rxn30352,
rxn32095, Nucleotide metabolism
rxn33098,
rxn31790, Metabolism of cofactors and vitamins
rxn06120, Carbohydrate metabolism
rxn15314, Carbohydrate metabolism
rxn02795, Lipid metabolism
rxn03094,
rxn04068, Lipid metabolism
rxn02796, Lipid metabolism
rxn02015, Lipid metabolism
rxn03095,
rxn06435,
rxn38117, Carbohydrate metabolism
rxn27724, Metabolism of cofactors and vitamins
rxn32424,
rxn33129, Metabolism of cofactors and vitamins
rxn13801,
rxn38069, Carbohydrate metabolism
rxn38284, Carbohydrate metabolism
rxn28100, Amino acid metabolism
rxn35343, Lipid metabolism
rxn32750, Metabolism of cofactors and vitamins
rxn30068, Carbohydrate metabolism
rxn30020,
rxn15459, Carbohydrate metabolism
rxn38233, Nucleotide metabolism
rxn15061, Carbohydrate metabolism
rxn19836, Amino acid metabolism
rxn38148, Carbohydrate metabolism
rxn30165,
rxn06781, Metabolism of other amino acids
rxn19018, Carbohydrate metabolism
rxn00407, Nucleotide metabolism
rxn32567, Nucleotide metabolism
rxn15043,
rxn01494, Amino acid metabolism
rxn35284, Amino acid metabolism
rxn31868, Lipid metabolism
rxn31335, Carbohydrate metabolism
rxn38459, Carbohydrate metabolism
rxn38097,
rxn30168,
rxn06798, Lipid metabolism
rxn02798, Lipid metabolism
rxn11667, Metabolism of cofactors and vitamins
rxn11666, Metabolism of cofactors and vitamins
rxn11665, Metabolism of cofactors and vitamins
rxn31229,
rxn34273, Nucleotide metabolism
rxn38499, Metabolism of terpenoids and polyketides
rxn31366, Energy metabolism
rxn27536, Energy metabolism
rxn05776, Amino acid metabolism
rxn28146,
rxn14073, Metabolism of terpenoids and polyketides
rxn38136, Amino acid metabolism
rxn02154, Metabolism of cofactors and vitamins
rxn38181, Metabolism of cofactors and vitamins
rxn32104, Metabolism of cofactors and vitamins
rxn16839,
rxn27686, Nucleotide metabolism
rxn35698, Nucleotide metabolism
rxn27708, Amino acid metabolism
rxn00701, Carbohydrate metabolism
rxn38244, Nucleotide metabolism
