"","FC","log2(FC)","p.ajusted","-log10(p)"
"CITRATE",6.5832,2.7188,2.1468e-05,4.6682
"Uracil",8.2368,3.0421,0.0015809,2.8011
"5'-DEOXYADENOSINE",11.974,3.5819,0.0029313,2.5329
"3-Phenyllactic acid",2.0991,1.0697,0.0029313,2.5329
"DEOXYGUANOSINE",7.7405,2.9524,0.015674,1.8048
"6-Phospho-D-gluconate",2.0079,1.0057,0.024234,1.6156
