"","FC","log2(FC)","p.ajusted","-log10(p)"
"Protocatechuic acid",3.4646,1.7927,6.7401e-07,6.1713
"Uracil",6.9968,2.8067,0.0012428,2.9056
"AICAR",2.246,1.1674,0.0059907,2.2225
"brucine",0.38084,-1.3928,0.0086477,2.0631
"Cimifugin",5.1077,2.3527,0.023738,1.6246
"3-METHYLGLUTACONATE",0.46338,-1.1097,0.033702,1.4723
