	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/1261070.4.sbml', 'BV+_context/2702.494.sbml')	711.9336	898.1034	657.3971	637.313
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.483.sbml')	670.9526	1000.0	603.2798	833.3333
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/585528.11.sbml')	670.9526	636.8282	602.5361	547.9231
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/1261068.4.sbml')	670.9526	632.4494	602.5361	598.5456
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.459.sbml')	670.9526	758.4609	603.2798	687.2443
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.468.sbml')	670.9526	838.633	602.5361	838.633
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/293424.19.sbml')	670.9526	1000.0	603.2798	1000.0
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.107.sbml')	670.9526	564.5233	618.568	511.7356
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/1261063.4.sbml')	670.9526	888.6365	611.7281	844.708
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.441.sbml')	670.9526	624.6781	602.5361	548.1173
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.269.sbml')	670.9526	658.7906	617.0854	556.7383
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/1261070.4.sbml', 'BV+_context/525328.13.sbml')	711.9336	844.9093	672.9866	820.131
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2026098.4.sbml')	670.9526	661.4062	602.6691	584.7477
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.299.sbml')	670.9526	842.1535	636.7221	803.6104
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.524.sbml')	670.9526	838.8089	602.5361	838.8089
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/293424.15.sbml')	670.9526	932.2385	623.7686	841.5503
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.482.sbml')	670.9526	681.6428	602.5361	626.6039
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/626522.3.sbml')	670.9526	341.8595	611.5436	341.8595
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2676753.3.sbml')	670.9526	838.633	602.5361	838.633
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.151.sbml')	670.9526	647.4151	620.5977	590.0771
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/293424.8.sbml')	670.9526	1000.0	603.2798	1000.0
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.423.sbml')	670.9526	658.8217	603.2798	579.0475
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/1261070.4.sbml', 'BV+_context/2702.483.sbml')	711.9336	1000.0	655.7421	833.3333
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.97.sbml')	670.9526	604.3645	602.5361	534.4324
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/293424.3.sbml')	670.9526	659.7284	622.0593	610.1275
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.333.sbml')	670.9526	715.8194	602.5361	650.9649
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.424.sbml')	670.9526	804.883	602.5361	804.883
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/1261062.4.sbml')	670.9526	805.207	602.5361	794.44
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.505.sbml')	670.9526	621.0508	603.2798	583.3442
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.506.sbml')	670.9526	642.7056	618.568	588.3799
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.496.sbml')	670.9526	1000.0	603.2798	1000.0
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/2702.166.sbml')	670.9526	750.2756	617.0854	655.1718
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
0	('BV+_context/2702.438.sbml', 'BV+_context/585528.6.sbml')	670.9526	1000.0	603.2798	980.0251
	Comparison	GENRE1_preFlux	GENRE2_preFlux	GENRE1_compFlux	GENRE2_compFlux
